layer,field,required_for,requirement_level,source_or_derivation,failure_effect
snapshot,fixture_id,all,required,api_football_fixture_id,fixture cannot be permanently scored without ID
snapshot,fixture_key,all,required,canonical_fixture_key,fixture cannot be joined to OG model outputs
snapshot,player_id,all,required,api_football_player_id,candidate cannot exceed AMBER_PARTIAL
snapshot,team_id,all,required,api_football_team_id,candidate cannot exceed AMBER_PARTIAL
snapshot,capture_generated_at,all,required,system_clock,missing audit timestamp
snapshot,source_data_cutoff_at,all,required,latest_source_timestamp,missing snapshot discipline
snapshot,fixture_kickoff_at,all,required,fixtures_master,missing pre-kickoff eligibility check
snapshot,snapshot_phase,all,required,run_context,missing phase discipline
snapshot,pre_kickoff_eligible,all,required,derived_from_cutoff_and_kickoff,do not claim pre-kickoff if false
lineups,starting_xi,all,required,api_football_lineups,RED_NO_LINEUPS if missing
lineups,bench,all,required,api_football_lineups,AMBER_PARTIAL if missing
lineups,formation,all,required,api_football_lineups,AMBER_PARTIAL if missing
lineups,lineup_status,all,required,api_football_lineups,RED_NO_LINEUPS if starters unknown
lineups,expected_minutes,all,required,derived_recent_minutes_and_role,candidate cannot be HIGH if missing
lineups,recent_starts,all,required,player_rolling_features,candidate cannot be HIGH if missing
lineups,recent_minutes,all,required,player_rolling_features,candidate cannot be HIGH if missing
lineups,substitution_risk,all,required,derived_minutes_starts_sub_patterns,candidate cannot be HIGH if missing
player_profile,shots_per90,shots_sot,required,player_event_rolling_features,cannot score shots/SOT
player_profile,sot_per90,shots_sot,required,player_event_rolling_features,cannot score SOT
player_profile,tackles_per90,tackles,required,player_event_rolling_features,cannot score tackles
player_profile,fouls_committed_per90,fouls_bookings,required,player_event_rolling_features,cannot score fouls
player_profile,fouls_drawn_per90,fouls_bookings,required,player_event_rolling_features,weak pressure-channel read if missing
player_profile,cards_per90,bookings,required,player_event_rolling_features,cannot score bookings
player_profile,saves_per90,keeper_saves,required,keeper_rolling_features,cannot score keeper saves
player_profile,recent_5_event_trend,all,preferred,player_event_rolling_features,candidate capped at MEDIUM if missing
player_profile,recent_10_event_trend,all,preferred,player_event_rolling_features,candidate capped at MEDIUM if missing
player_profile,home_away_split,all,preferred,player_event_rolling_features,add caution note if missing
player_profile,starter_only_split,all,preferred,player_event_rolling_features,add minutes-role caution if missing
player_profile,opponent_strength_adjusted_rate,all,preferred,derived_adjusted_profile,add profile quality caution if missing
tactical,role_archetype,all,required,role_registry_or_heuristic,candidate cannot be HIGH if missing
tactical,contact_role_archetype,fouls_bookings_tackles,required,beta_contact_role_mapper,fouls/bookings cannot exceed WATCH_ONLY if missing
tactical,contact_role_subtype,fouls_bookings_tackles,required,contact_role_pressure_channel_spec,fouls/bookings cannot exceed WATCH_ONLY if missing
tactical,opponent_pressure_channel,fouls_bookings_tackles_shots,required,fixture_tactical_overlay,fouls/bookings cannot exceed WATCH_ONLY if missing
tactical,pressure_channel_source,fouls_bookings_tackles_shots,required,fixture_tactical_overlay_or_live_duel_tracker,candidate cannot be HIGH without sourced channel
tactical,support_context_flag,fouls_bookings_tackles,preferred,wide_central_support_context_mapper,candidate capped at MEDIUM if missing
tactical,defensive_winger_support_quality,fouls_bookings_tackles,preferred,tactical_role_overlay,wide contact candidate capped at MEDIUM if missing
tactical,double_team_support_flag,fouls_bookings_tackles,preferred,tactical_role_overlay,wide isolation candidate capped at MEDIUM if missing
tactical,pivot_cover_available,fouls_bookings_tackles,preferred,tactical_role_overlay,central contact candidate capped at MEDIUM if missing
tactical,wide_cb_cover_available,fouls_bookings_tackles,preferred,tactical_role_overlay,wide contact candidate capped at MEDIUM if missing
tactical,same_matchup_repetition_count,fouls_bookings_tackles,preferred,live_duel_tracker_or_manual_hotspot_helper,bookings cannot be HIGH without repetition or strong conversion support
tactical,duel_persistence_flag,fouls_bookings_tackles,preferred,live_duel_tracker_or_manual_hotspot_helper,bookings cannot be HIGH without persistence or strong conversion support
tactical,duel_zone_persistence,fouls_bookings_tackles,preferred,live_duel_tracker_or_manual_hotspot_helper,candidate capped at MEDIUM if missing
tactical,direct_opponent_matchup,fouls_bookings_tackles,preferred,lineup_matchup_mapper,candidate capped at MEDIUM if missing
tactical,likely_duel_zone,fouls_bookings_tackles,preferred,tactical_overlay,candidate capped at MEDIUM if missing
tactical,team_attack_side_bias,shots_sot_keypasses,required,team_style_overlay,cannot score HIGH attack events if missing
tactical,opposition_dribbler_runner_profile,fouls_bookings_tackles,preferred,player_event_role_overlay,candidate capped at MEDIUM if missing
tactical,formation_matchup_label,all,required,lineup_formation_join,candidate cannot be HIGH if missing
tactical,role_break_event,fouls_bookings_tackles_shots,conditional,live_lineup_shape_or_manual_hotspot_helper,downgrade candidate if true
tactical,clean_tackle_bias,tackles_fouls_bookings,preferred,player_profile_and_duel_quality_overlay,tackle-positive candidate should not auto-promote to foul/card if clean-contact bias high
tactical,late_arrival_rate,fouls_bookings_tackles,preferred,duel_timing_proxy_or_manual_review,candidate capped at MEDIUM if missing for fouls/bookings
tactical,support_cover_quality,fouls_bookings_tackles,preferred,tactical_role_overlay,candidate capped at MEDIUM if missing
tactical,set_piece_contact_pressure,fouls_bookings_keeper_saves,preferred,set_piece_pressure_overlay,candidate capped at MEDIUM if set-piece route is assumed but missing
tactical,keeper_siege_type,keeper_saves_fouls_bookings,preferred,keeper_siege_splitter,cannot reuse keeper siege for CB/DM fouls without siege type
fixture_environment,og_ftr_pick,all,required,bookie_allmarkets_output,fixture cannot be GREEN_CONFIRMED if missing
fixture_environment,og_btts_pick,all,required,bookie_allmarkets_output,fixture cannot be GREEN_CONFIRMED if missing
fixture_environment,og_ou25_pick,all,required,bookie_allmarkets_output,fixture cannot be GREEN_CONFIRMED if missing
fixture_environment,cs_goal_mass,shots_sot_keeper_saves_goal_events,required,correct_score_goal_mass_matrix,shots/SOT/keeper cannot be HIGH if missing
fixture_environment,expected_goals_environment,all,required,model_outputs_and_xg_inputs,fixture cannot be GREEN_CONFIRMED if missing
fixture_environment,team_goal_pressure,shots_sot_keeper_saves,required,goal_market_signal_matrix,candidate cannot be HIGH if missing
fixture_environment,pace_chaos_rating,all,preferred,fixture_intelligence_overlay,add volatility caution if missing
fixture_environment,possession_projection,tackles_fouls_keeper_saves,required,team_style_overlay,candidate cannot be HIGH if missing
fixture_environment,defensive_workload,tackles_fouls_keeper_saves,required,fixture_environment_model,candidate cannot be HIGH if missing
fixture_environment,game_state_stakes,fouls_bookings,preferred,fixture_motivation_overlay,add stakes caution if missing
